amount,gas_price,gas_used,num_transfers,unique_addresses,time_of_day,contract_interaction,sender_tx_count,receiver_tx_count,is_malicious
0.4646180633531675,36.57915500842039,31582.0193763258,2,3,2,1,8150951,71,0.0
0.7831647043367183,59.48012484289787,77754.21271610486,2,3,18,1,132,38127,0.0
0.012358642793762531,63.70739984218325,41243.076417746386,2,1,3,1,1045,740,0.0
0.20693128662822913,33.80941231039018,76597.36684021816,4,3,17,0,2995,791,0.0
0.8605818967754414,39.96508351340444,38824.852071058194,3,1,8,0,74831,0,0.0
0.07348974701622263,48.03854497095374,46080.01313659712,1,5,16,1,185,2,0.0
0.09360599340640258,56.756179398941995,38077.48441906328,3,1,3,0,6044,1,0.0
0.544154268501761,59.09738939238109,60704.205702873376,3,0,20,1,4667,21,0.0
0.631651995332608,56.74673926916529,71018.06985766167,1,4,4,0,23147,81,0.0
0.2896071356759432,46.576736983482036,73249.73901159278,0,3,11,1,2523,7278,0.0
0.44090743017155654,50.208081082639644,42783.6563573272,1,0,20,1,577478,256,0.0
5.380859255690955,58.55263797387252,155115.81559395485,9,10,2,1,10,8,1.0
0.7044145930586617,60.43954914921993,33205.64885769307,2,1,6,1,81,676,0.0
0.04505355103087524,49.50742474016079,34443.942003349555,1,3,23,0,87967,3450,0.0
0.35244883644963826,66.72686473242453,62164.853250143344,1,3,14,1,8795,466,0.0
0.030900699568083105,44.23863622683802,4301.963879943633,0,3,13,0,205,44739,0.0
0.32623527834050225,59.503591161225756,82639.82014225259,1,1,8,1,19897,1007,0.0
0.00014002506596064483,30.60393926872782,65680.21265280763,9,7,4,1,1,40,1.0
1.8647443830053307,141.7079404122444,183264.30652216633,7,13,5,0,18,3,1.0
3.2652156548959526,122.52226314253235,80544.47268423476,9,8,4,1,6,0,1.0
0.0021014402099294826,76.59082761221684,3916.8459812474853,6,6,2,1,3,2,1.0
1.0146618706997492,57.25242052946437,53002.35934719645,0,3,18,0,47332,7,0.0
